Date,Mkt-RF,Mkt-Rf_div100,SMB,HML,RF, S&P ,SMB-Rf,HML-RF,Mkt-Rf_Cum,SMB-Rf_Cum,HML-RF_Cum
201704,1.09,0.0109,0.73,-2.13,0.05,0.01,0.0068,-0.0218,2.566551247,1.210140117,0.939180551
201705,1.06,0.0106,-2.57,-3.78,0.06,0.01,-0.0263,-0.0384,2.593756691,1.178313431,0.903116017
201706,0.78,0.0078,2.25,1.48,0.06,0,0.0219,0.0142,2.613987993,1.204118496,0.915940265
201707,1.87,0.0187,-1.51,-0.31,0.07,0.02,-0.0158,-0.0038,2.662869568,1.185093423,0.912459692
201708,0.16,0.0016,-1.67,-2.09,0.09,0,-0.0176,-0.0218,2.66713016,1.164235779,0.892568071
201709,2.51,0.0251,4.47,3.14,0.09,0.02,0.0438,0.0305,2.734075127,1.215229306,0.919791397
201710,2.25,0.0225,-1.94,0.2,0.09,0.02,-0.0203,0.0011,2.795591817,1.190560151,0.920803167
201711,3.12,0.0312,-0.55,-0.03,0.08,0.03,-0.0063,-0.0011,2.882814282,1.183059622,0.919790284
201712,1.06,0.0106,-1.32,0.06,0.09,0.01,-0.0141,-0.0003,2.913372113,1.166378482,0.919514347
201801,5.57,0.0557,-3.13,-1.29,0.12,0.05,-0.0325,-0.0141,3.07564694,1.128471181,0.906549194
201802,-3.65,-0.0365,0.25,-1.04,0.11,-0.04,0.0014,-0.0115,2.963385827,1.130051041,0.896123879
201803,-2.35,-0.0235,4.06,-0.21,0.11,-0.03,0.0395,-0.0032,2.89374626,1.174688057,0.893256282
201804,0.28,0.0028,1.13,0.54,0.14,0,0.0099,0.004,2.901848749,1.186317469,0.896829307
201805,2.65,0.0265,5.25,-3.2,0.14,0.02,0.0511,-0.0334,2.978747741,1.246938291,0.866875209
201806,0.48,0.0048,1.14,-2.34,0.14,0,0.01,-0.0248,2.99304573,1.259407674,0.845376703
201807,3.19,0.0319,-2.22,0.47,0.16,0.04,-0.0238,0.0031,3.088523889,1.229433772,0.847997371
201808,3.44,0.0344,1.14,-3.94,0.16,0.03,0.0098,-0.041,3.194769111,1.241482222,0.813229479
201809,0.06,0.0006,-2.27,-1.7,0.15,0,-0.0242,-0.0185,3.196685972,1.211438353,0.798184734
201810,-7.68,-0.0768,-4.78,3.4,0.19,-0.07,-0.0497,0.0321,2.95118049,1.151229867,0.823806464
201811,1.69,0.0169,-0.68,0.3,0.18,0.02,-0.0086,0.0012,3.00105544,1.14132929,0.824795031
201812,-9.57,-0.0957,-2.38,-1.84,0.2,-0.1,-0.0258,-0.0204,2.713854434,1.111882994,0.807969213
201901,8.4,0.084,2.9,-0.46,0.21,0.08,0.0269,-0.0067,2.941818207,1.141792647,0.802555819
201902,3.4,0.034,2.05,-2.67,0.18,0.03,0.0187,-0.0285,3.041840026,1.163144169,0.779682978
201903,1.1,0.011,-3.05,-4.17,0.19,0.02,-0.0324,-0.0436,3.075300266,1.125458298,0.7456888
201904,3.97,0.0397,-1.74,2.15,0.21,0.04,-0.0195,0.0194,3.197389687,1.103511861,0.760155163
201905,-6.94,-0.0694,-1.32,-2.37,0.21,-0.07,-0.0153,-0.0258,2.975490842,1.08662813,0.74054316
201906,6.93,0.0693,0.29,-0.71,0.18,0.07,0.0011,-0.0089,3.181692358,1.087823421,0.733952326
201907,1.19,0.0119,-1.93,0.48,0.19,0.01,-0.0212,0.0029,3.219554497,1.064761564,0.736080787
201908,-2.58,-0.0258,-2.38,-4.78,0.16,-0.02,-0.0254,-0.0494,3.136489991,1.03771662,0.699718396
201909,1.43,0.0143,-0.96,6.75,0.18,0.02,-0.0114,0.0657,3.181341798,1.025886651,0.745689895
201910,2.06,0.0206,0.29,-1.91,0.16,0.02,0.0013,-0.0207,3.246877439,1.027220304,0.730254114
201911,3.87,0.0387,0.77,-2.02,0.12,0.03,0.0065,-0.0214,3.372531595,1.033897236,0.714626676
201912,2.77,0.0277,0.73,1.75,0.14,0.03,0.0059,0.0161,3.465950721,1.039997229,0.726132166
